CASE_NO,STARTED,CLOSED,CaseType,CaseSubType,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,Case_Count,Case_Completion
CE18-1040,7/24/2018 12:00:00 AM,8/20/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,370 W GRAND BL,CORONA,CA,92882,1,1
CE22-1541,10/21/2022 12:00:00 AM,10/27/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,370 W GRAND BLVD,CORONA,CA,92882,1,1
CC23-1558,10/24/2023 12:00:00 AM,11/8/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1991 JENNA CIR,CORONA,CA,92881,1,1
CC23-1749,12/6/2023 12:00:00 AM,4/27/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1071 W CITRON ST,CORONA,CA,92882,1,1
CC24-0995,7/18/2024 12:00:00 AM,8/26/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1071 W CITRON ST,CORONA,CA,92882,1,1
CC25-0267,3/4/2025 12:00:00 AM,6/15/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1071 W CITRON ST,CORONA,CA,92882,1,1
CE03-1043,10/2/2003 12:00:00 AM,3/16/2004 12:00:00 AM,CODE ENFORCEMENT,DEVEL,1071 W CITRON ST,,,,1,1
CE09-1554,12/7/2009 12:00:00 AM,12/14/2009 12:00:00 AM,CODE ENFORCEMENT,PROP,1071 W CITRON ST     ,,,,1,1
CE19-1476,12/5/2019 12:00:00 AM,5/11/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1071 W CITRON ST,CORONA,CA,92882,1,1
CE20-1048,9/17/2020 12:00:00 AM,10/14/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1071 W CITRON ST,CORONA,CA,92882,1,1
CE22-0587,5/4/2022 12:00:00 AM,3/2/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1071 W CITRON ST,CORONA,CA,92882,1,1
CE04-1268,10/5/2004 12:00:00 AM,10/13/2004 12:00:00 AM,CODE ENFORCEMENT,DEVEL,2867 LA VISTA AV     ,,,,1,1
CE08-0610,4/5/2008 12:00:00 AM,7/17/2008 12:00:00 AM,CODE ENFORCEMENT,DEVEL,4049 INVERNESS DR     ,,,,1,1
CE13-0323,4/17/2013 12:00:00 AM,4/17/2013 12:00:00 AM,CODE ENFORCEMENT,,2867 LA VISTA AV     ,,,,1,1
CE15-0703,7/22/2015 12:00:00 AM,7/22/2015 12:00:00 AM,CODE ENFORCEMENT,,2800 KEYSTONE CI ,,,,1,1
CE22-0630,5/12/2022 12:00:00 AM,9/12/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,355 BLACKPINE DR,CORONA,CA,92879,1,1
CC23-1804,12/13/2023 12:00:00 AM,3/7/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1157 FALLBROOK DR,CORONA,CA,92880,1,1
CC24-0428,3/26/2024 12:00:00 AM,5/6/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1503 FAIRMONT DR,CORONA,CA,92882,1,1
CC25-1678,10/22/2025 12:00:00 AM,,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1157 FALLBROOK DR,CORONA,CA,92880,1,0
CC25-0866,6/16/2025 12:00:00 AM,10/18/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1157 FALLBROOK DR,CORONA,CA,92880,1,1
CE06-0379,5/8/2006 12:00:00 AM,5/1/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,1157 FALLBROOK DR     ,,,,1,1
CE07-1350,8/10/2007 12:00:00 AM,9/25/2008 12:00:00 AM,CODE ENFORCEMENT,DEVEL,1157 FALLBROOK DR     ,,,,1,1
CE13-1026,9/19/2013 12:00:00 AM,9/10/2015 12:00:00 AM,CODE ENFORCEMENT,,1157 FALLBROOK DR ,,,,1,1
CE16-1666,12/14/2016 12:00:00 AM,3/28/2017 12:00:00 AM,CODE ENFORCEMENT,,102 N BUENA VISTA AV ,,,,1,1
